class	url	experimental	unstable	obsolete	deprecated	description
AggregateError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/AggregateError	true	false	false	false	The AggregateError object represents an error when several errors need to be wrapped in a single error. It is thrown when multiple errors need to be reported by an operation, for example by Promise.any(), when all promises passed to it reject.
Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array	false	false	false	false	The JavaScript Array class is a global object that is used in the construction of arrays; which are high-level, list-like objects.
ArrayBuffer	/en-US/docs/Web/JavaScript/Reference/Global_Objects/ArrayBuffer	false	false	false	false	The ArrayBuffer object is used to represent a generic, fixed-length raw binary data buffer.
AsyncFunction	/en-US/docs/Web/JavaScript/Reference/Global_Objects/AsyncFunction	false	false	false	false	The AsyncFunction constructor creates a new async function object. In JavaScript, every asynchronous function is actually an AsyncFunction object.
Atomics	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Atomics	false	false	false	false	The Atomics object provides atomic operations as static methods. They are used with SharedArrayBuffer and ArrayBuffer objects.
BigInt	/en-US/docs/Web/JavaScript/Reference/Global_Objects/BigInt	false	false	false	false	BigInt is a built-in object that provides a way to represent whole numbers larger than 253 - 1, which is the largest number JavaScript can reliably represent with the Number primitive and represented by the Number.MAX_SAFE_INTEGER constant. BigInt can be used for arbitrarily large integers.
BigInt64Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/BigInt64Array	false	false	false	false	The BigInt64Array typed array represents an array of 64-bit signed integers in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0n. Once established, you can reference elements in the array using the object's methods, or by using standard array index syntax (that is, using bracket notation).
BigUint64Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/BigUint64Array	false	false	false	false	The BigUint64Array typed array represents an array of 64-bit unsigned integers in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0n. Once established, you can reference elements in the array using the object's methods, or by using standard array index syntax (that is, using bracket notation).
Boolean	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Boolean	false	false	false	false	The Boolean object is an object wrapper for a boolean value.
DataView	/en-US/docs/Web/JavaScript/Reference/Global_Objects/DataView	false	false	false	false	The DataView view provides a low-level interface for reading and writing multiple number types in a binary ArrayBuffer, without having to care about the platform's endianness.
Date	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Date	false	false	false	false	JavaScript Date objects represent a single moment in time in a platform-independent format.
Error	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Error	false	false	false	false	Error objects are thrown when runtime errors occur. The Error object can also be used as a base object for user-defined exceptions. See below for standard built-in error types.
EvalError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/EvalError	false	false	false	false	The EvalError object indicates an error regarding the global eval() function. This exception is not thrown by JavaScript anymore, however the EvalError object remains for compatibility.
FinalizationRegistry	/en-US/docs/Web/JavaScript/Reference/Global_Objects/FinalizationRegistry	false	false	false	false	A FinalizationRegistry object lets you request a callback when an object is garbage-collected.
Float32Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Float32Array	false	false	false	false	The Float32Array typed array represents an array of 32-bit floating point numbers (corresponding to the C float data type) in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Float64Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Float64Array	false	false	false	false	The Float64Array typed array represents an array of 64-bit floating point numbers (corresponding to the C double data type) in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Function	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Function	false	false	false	false	Every JavaScript function is actually a Function object. This can be seen with the code (function(){}).constructor === Function, which returns true.
Generator	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Generator	false	false	false	false	The Generator object is returned by a generator function and it conforms to both the iterable protocol and the iterator protocol.
GeneratorFunction	/en-US/docs/Web/JavaScript/Reference/Global_Objects/GeneratorFunction	false	false	false	false	The GeneratorFunction constructor creates a new generator function object. In JavaScript, every generator function is actually a GeneratorFunction object.
Infinity	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Infinity	false	false	false	false	The global property Infinity is a numeric value representing infinity.
Int16Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Int16Array	false	false	false	false	The Int16Array typed array represents an array of twos-complement 16-bit signed integers in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Int32Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Int32Array	false	false	false	false	The Int32Array typed array represents an array of twos-complement 32-bit signed integers in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Int8Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Int8Array	false	false	false	false	The Int8Array typed array represents an array of twos-complement 8-bit signed integers. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
InternalError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/InternalError	false	false	false	false	The InternalError object indicates an error that occurred internally in the JavaScript engine.
Intl	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Intl	false	false	false	false	The Intl object is the namespace for the ECMAScript Internationalization API, which provides language sensitive string comparison, number formatting, and date and time formatting. The Intl object provides access to several constructors as well as functionality common to the internationalization constructors and other language sensitive functions.
JSON	/en-US/docs/Web/JavaScript/Reference/Global_Objects/JSON	false	false	false	false	The JSON object contains methods for parsing JavaScript Object Notation (JSON) and converting values to JSON. It can't be called or constructed, and aside from its two method properties, it has no interesting functionality of its own.
Map	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Map	false	false	false	false	The Map object holds key-value pairs and remembers the original insertion order of the keys.
Math	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Math	false	false	false	false	Math is a built-in object that has properties and methods for mathematical constants and functions. It’s not a function object.
NaN	/en-US/docs/Web/JavaScript/Reference/Global_Objects/NaN	false	false	false	false	The global NaN property is a value representing Not-A-Number.
Number	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Number	false	false	false	false	The Number constructor contains constants and methods for working with numbers. Values of other types can be converted to numbers using the Number() function.
Object	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Object	false	false	false	false	The Object class represents one of JavaScript's data types. It is used to store various keyed collections and more complex entities. Objects can be created using the Object() constructor or the object initializer / literal syntax.
Promise	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise	false	false	false	false	The Promise object represents the eventual completion (or failure) of an asynchronous operation and its resulting value.
Proxy	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Proxy	false	false	false	false	The Proxy object enables you to create a proxy for another object, which can intercept and redefine fundamental operations for that object.
RangeError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/RangeError	false	false	false	false	The RangeError object indicates an error when a value is not in the set or range of allowed values.
ReferenceError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/ReferenceError	false	false	false	false	The ReferenceError object represents an error when a non-existent variable is referenced.
