property	kind	url	experimental	unstable	obsolete	deprecated
onabort	property	/en-US/docs/Web/API/GlobalEventHandlers/onabort	true	false	false	false
onanimationcancel	property	/en-US/docs/Web/API/GlobalEventHandlers/onanimationcancel	false	false	false	false
onanimationend	property	/en-US/docs/Web/API/GlobalEventHandlers/onanimationend	false	false	false	false
onanimationiteration	property	/en-US/docs/Web/API/GlobalEventHandlers/onanimationiteration	true	false	false	false
onauxclick	property	/en-US/docs/Web/API/GlobalEventHandlers/onauxclick	true	false	false	false
onblur	property	/en-US/docs/Web/API/GlobalEventHandlers/onblur	false	false	false	false
oncancel	property	/en-US/docs/Web/API/GlobalEventHandlers/oncancel	false	false	false	false
oncanplay	property	/en-US/docs/Web/API/GlobalEventHandlers/oncanplay	false	false	false	false
oncanplaythrough	property	/en-US/docs/Web/API/GlobalEventHandlers/oncanplaythrough	false	false	false	false
onchange	property	/en-US/docs/Web/API/GlobalEventHandlers/onchange	false	false	false	false
onclick	property	/en-US/docs/Web/API/GlobalEventHandlers/onclick	false	false	false	false
onclose	property	/en-US/docs/Web/API/GlobalEventHandlers/onclose	true	false	false	false
oncontextmenu	property	/en-US/docs/Web/API/GlobalEventHandlers/oncontextmenu	false	false	false	false
oncuechange	property	/en-US/docs/Web/API/GlobalEventHandlers/oncuechange	false	false	false	false
ondblclick	property	/en-US/docs/Web/API/GlobalEventHandlers/ondblclick	false	false	false	false
ondurationchange	property	/en-US/docs/Web/API/GlobalEventHandlers/ondurationchange	false	false	false	false
onended	property	/en-US/docs/Web/API/GlobalEventHandlers/onended	false	false	false	false
onerror	property	/en-US/docs/Web/API/GlobalEventHandlers/onerror	false	false	false	false
onfocus	property	/en-US/docs/Web/API/GlobalEventHandlers/onfocus	false	false	false	false
onformdata	property	/en-US/docs/Web/API/GlobalEventHandlers/onformdata	true	false	false	false
ongotpointercapture	property	/en-US/docs/Web/API/GlobalEventHandlers/ongotpointercapture	false	false	false	false
oninput	property	/en-US/docs/Web/API/GlobalEventHandlers/oninput	false	false	false	false
oninvalid	property	/en-US/docs/Web/API/GlobalEventHandlers/oninvalid	false	false	false	false
onkeydown	property	/en-US/docs/Web/API/GlobalEventHandlers/onkeydown	false	false	false	false
onkeypress	property	/en-US/docs/Web/API/GlobalEventHandlers/onkeypress	false	false	false	false
onkeyup	property	/en-US/docs/Web/API/GlobalEventHandlers/onkeyup	false	false	false	false
