class	url	experimental	unstable	obsolete	deprecated	description
ANGLE_instanced_arrays	/en-US/docs/Web/API/ANGLE_instanced_arrays	false	false	false	false	The ANGLE_instanced_arrays extension is part of the WebGL API and allows to draw the same object, or groups of similar objects multiple times, if they share the same vertex data, primitive count and type.
AbortController	/en-US/docs/Web/API/AbortController	true	false	false	false	The AbortController interface represents a controller object that allows you to abort one or more Web requests as and when desired.
AbortSignal	/en-US/docs/Web/API/AbortSignal	true	false	false	false	The AbortSignal interface represents a signal object that allows you to communicate with a DOM request (such as a Fetch) and abort it if required via an AbortController object.
AbsoluteOrientationSensor	/en-US/docs/Web/API/AbsoluteOrientationSensor	false	false	false	false	The AbsoluteOrientationSensor interface of the Sensor APIs describes the device's physical orientation in relation to the Earth's reference coordinate system.
AbstractRange	/en-US/docs/Web/API/AbstractRange	false	false	false	false	The AbstractRange abstract interface is the base class upon which all DOM range types are defined. A range is an object that indicates the start and end points of a section of content within the document.
AbstractWorker	/en-US/docs/Web/API/AbstractWorker	false	false	false	false	The AbstractWorker interface of the Web Workers API is an abstract interface that defines properties and methods that are common to all types of worker, including not only the basic Worker, but also ServiceWorker and SharedWorker.
Accelerometer	/en-US/docs/Web/API/Accelerometer	false	false	false	false	The Accelerometer interface of the Sensor APIs provides on each reading the acceleration applied to the device along all three axes. 
AddressErrors	/en-US/docs/Web/API/AddressErrors	false	false	false	false	The AddressErrors dictionary is used by the Payment Request API to to report validation errors in a physical address (typically a billing address or a shipping address).
AesCbcParams	/en-US/docs/Web/API/AesCbcParams	false	false	false	false	The AesCbcParams dictionary of the Web Crypto API represents the object that should be passed as the algorithm parameter into SubtleCrypto.encrypt(), SubtleCrypto.decrypt(), SubtleCrypto.wrapKey(), or SubtleCrypto.unwrapKey(), when using the AES-CBC algorithm.
AesCtrParams	/en-US/docs/Web/API/AesCtrParams	false	false	false	false	The AesCtrParams dictionary of the Web Crypto API represents the object that should be passed as the algorithm parameter into SubtleCrypto.encrypt(), SubtleCrypto.decrypt(), SubtleCrypto.wrapKey(), or SubtleCrypto.unwrapKey(), when using the AES-CTR algorithm.
AesGcmParams	/en-US/docs/Web/API/AesGcmParams	false	false	false	false	The AesGcmParams dictionary of the Web Crypto API represents the object that should be passed as the algorithm parameter into SubtleCrypto.encrypt(), SubtleCrypto.decrypt(), SubtleCrypto.wrapKey(), or SubtleCrypto.unwrapKey(), when using the AES-GCM algorithm.
AesKeyGenParams	/en-US/docs/Web/API/AesKeyGenParams	false	false	false	false	See the examples for SubtleCrypto.generateKey().
AmbientLightSensor	/en-US/docs/Web/API/AmbientLightSensor	false	false	false	false	The AmbientLightSensor interface of the the Sensor APIs returns the current light level or illuminance of the ambient light around the hosting device.
AnalyserNode	/en-US/docs/Web/API/AnalyserNode	false	false	false	false	The AnalyserNode interface represents a node able to provide real-time frequency and time-domain analysis information. It is an AudioNode that passes the audio stream unchanged from the input to the output, but allows you to take the generated data, process it, and create audio visualizations.
Animation	/en-US/docs/Web/API/Animation	false	false	false	false	The Animation interface of the Web Animations API represents a single animation player and provides playback controls and a timeline for an animation node or source.
AnimationEffect	/en-US/docs/Web/API/AnimationEffect	false	false	false	false	The AnimationEffect interface of the Web Animations API defines current and future animation effects like KeyframeEffect, which can be passed to Animation objects for playing, and KeyframeEffectReadOnly (which is used by CSS Animations and Transitions).
AnimationEvent	/en-US/docs/Web/API/AnimationEvent	true	false	false	false	The AnimationEvent interface represents events providing information related to animations.
AnimationPlaybackEvent	/en-US/docs/Web/API/AnimationPlaybackEvent	true	false	false	false	The AnimationPlaybackEvent interface of the Web Animations API represents animation events.
