property	kind	url	experimental	unstable	obsolete	deprecated
applicationCache	property	/en-US/docs/Web/API/Window/applicationCache	false	false	false	true
caches	property	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/caches	true	false	false	false
closed	property	/en-US/docs/Web/API/Window/closed	false	false	false	false
console	property	/en-US/docs/Web/API/Window/console	false	false	false	false
controllers	property	/en-US/docs/Web/API/Window/controllers	false	true	false	false
crossOriginIsolated	property	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/crossOriginIsolated	true	false	false	false
crypto	property	/en-US/docs/Web/API/Window/crypto	false	false	false	false
customElements	property	/en-US/docs/Web/API/Window/customElements	false	false	false	false
defaultStatus	property	/en-US/docs/Web/API/Window/defaultStatus	false	false	true	false
devicePixelRatio	property	/en-US/docs/Web/API/Window/devicePixelRatio	false	false	false	false
dialogArguments	property	/en-US/docs/Web/API/Window/dialogArguments	false	false	false	true
directories	property	/en-US/docs/Web/API/Window/directories	false	false	true	false
document	property	/en-US/docs/Web/API/Window/document	false	false	false	false
event	property	/en-US/docs/Web/API/Window/event	false	false	false	false
frameElement	property	/en-US/docs/Web/API/Window/frameElement	false	false	false	false
frames	property	/en-US/docs/Web/API/Window/frames	false	false	false	false
fullScreen	property	/en-US/docs/Web/API/Window/fullScreen	false	true	false	false
history	property	/en-US/docs/Web/API/Window/history	false	false	false	false
indexedDB	property	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/indexedDB	false	false	false	false
innerHeight	property	/en-US/docs/Web/API/Window/innerHeight	false	false	false	false
innerWidth	property	/en-US/docs/Web/API/Window/innerWidth	false	false	false	false
isSecureContext	property	/en-US/docs/Web/API/Window/isSecureContext	false	false	false	false
isSecureContext	property	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/isSecureContext	false	false	false	false
length	property	/en-US/docs/Web/API/Window/length	false	false	false	false
localStorage	property	/en-US/docs/Web/API/Window/localStorage	false	false	false	false
location	property	/en-US/docs/Web/API/Window/location	false	false	false	false
locationbar	property	/en-US/docs/Web/API/Window/locationbar	false	false	false	false
menubar	property	/en-US/docs/Web/API/Window/menubar	false	false	false	false
mozAnimationStartTime	property	/en-US/docs/Web/API/Window/mozAnimationStartTime	false	false	true	false
mozInnerScreenX	property	/en-US/docs/Web/API/Window/mozInnerScreenX	false	false	false	false
mozInnerScreenY	property	/en-US/docs/Web/API/Window/mozInnerScreenY	false	false	false	false
mozPaintCount	property	/en-US/docs/Web/API/Window/mozPaintCount	false	true	false	true
name	property	/en-US/docs/Web/API/Window/name	false	false	false	false
navigator	property	/en-US/docs/Web/API/Window/navigator	false	false	false	false
onabort	property	/en-US/docs/Web/API/GlobalEventHandlers/onabort	true	false	false	false
onafterprint	property	/en-US/docs/Web/API/WindowEventHandlers/onafterprint	false	false	false	false
onanimationcancel	property	/en-US/docs/Web/API/GlobalEventHandlers/onanimationcancel	false	false	false	false
onanimationend	property	/en-US/docs/Web/API/GlobalEventHandlers/onanimationend	false	false	false	false
onanimationiteration	property	/en-US/docs/Web/API/GlobalEventHandlers/onanimationiteration	true	false	false	false
onappinstalled	property	/en-US/docs/Web/API/Window/onappinstalled	false	false	true	false
onauxclick	property	/en-US/docs/Web/API/GlobalEventHandlers/onauxclick	true	false	false	false
onbeforeinstallprompt	property	/en-US/docs/Web/API/Window/onbeforeinstallprompt	false	false	false	false
onbeforeprint	property	/en-US/docs/Web/API/WindowEventHandlers/onbeforeprint	false	false	false	false
onbeforeunload	property	/en-US/docs/Web/API/WindowEventHandlers/onbeforeunload	false	false	false	false
onblur	property	/en-US/docs/Web/API/GlobalEventHandlers/onblur	false	false	false	false
oncancel	property	/en-US/docs/Web/API/GlobalEventHandlers/oncancel	false	false	false	false
oncanplay	property	/en-US/docs/Web/API/GlobalEventHandlers/oncanplay	false	false	false	false
oncanplaythrough	property	/en-US/docs/Web/API/GlobalEventHandlers/oncanplaythrough	false	false	false	false
onchange	property	/en-US/docs/Web/API/GlobalEventHandlers/onchange	false	false	false	false
onclick	property	/en-US/docs/Web/API/GlobalEventHandlers/onclick	false	false	false	false
onclose	property	/en-US/docs/Web/API/GlobalEventHandlers/onclose	true	false	false	false
oncontextmenu	property	/en-US/docs/Web/API/GlobalEventHandlers/oncontextmenu	false	false	false	false
oncuechange	property	/en-US/docs/Web/API/GlobalEventHandlers/oncuechange	false	false	false	false
ondblclick	property	/en-US/docs/Web/API/GlobalEventHandlers/ondblclick	false	false	false	false
ondevicelight	property	/en-US/docs/Web/API/Window/ondevicelight	true	false	false	false
ondevicemotion	property	/en-US/docs/Web/API/Window/ondevicemotion	false	false	false	false
ondeviceorientation	property	/en-US/docs/Web/API/Window/ondeviceorientation	false	false	false	false
ondeviceorientationabsolute	property	/en-US/docs/Web/API/Window/ondeviceorientationabsolute	false	false	false	false
ondeviceproximity	property	/en-US/docs/Web/API/Window/ondeviceproximity	true	false	false	false
ondragdrop	property	/en-US/docs/Web/API/Window/ondragdrop	false	false	true	false
ondurationchange	property	/en-US/docs/Web/API/GlobalEventHandlers/ondurationchange	false	false	false	false
onended	property	/en-US/docs/Web/API/GlobalEventHandlers/onended	false	false	false	false
onerror	property	/en-US/docs/Web/API/GlobalEventHandlers/onerror	false	false	false	false
onfocus	property	/en-US/docs/Web/API/GlobalEventHandlers/onfocus	false	false	false	false
onformdata	property	/en-US/docs/Web/API/GlobalEventHandlers/onformdata	true	false	false	false
ongamepadconnected	property	/en-US/docs/Web/API/Window/ongamepadconnected	true	false	false	false
ongamepaddisconnected	property	/en-US/docs/Web/API/Window/ongamepaddisconnected	true	false	false	false
ongotpointercapture	property	/en-US/docs/Web/API/GlobalEventHandlers/ongotpointercapture	false	false	false	false
onhashchange	property	/en-US/docs/Web/API/WindowEventHandlers/onhashchange	false	false	false	false
oninput	property	/en-US/docs/Web/API/GlobalEventHandlers/oninput	false	false	false	false
oninvalid	property	/en-US/docs/Web/API/GlobalEventHandlers/oninvalid	false	false	false	false
onkeydown	property	/en-US/docs/Web/API/GlobalEventHandlers/onkeydown	false	false	false	false
onkeypress	property	/en-US/docs/Web/API/GlobalEventHandlers/onkeypress	false	false	false	false
onkeyup	property	/en-US/docs/Web/API/GlobalEventHandlers/onkeyup	false	false	false	false
onlanguagechange	property	/en-US/docs/Web/API/WindowEventHandlers/onlanguagechange	true	false	false	false
onload	property	/en-US/docs/Web/API/GlobalEventHandlers/onload	false	false	false	false
onloadeddata	property	/en-US/docs/Web/API/GlobalEventHandlers/onloadeddata	false	false	false	false
onloadedmetadata	property	/en-US/docs/Web/API/GlobalEventHandlers/onloadedmetadata	false	false	false	false
onloadend	property	/en-US/docs/Web/API/GlobalEventHandlers/onloadend	false	false	false	false
onloadstart	property	/en-US/docs/Web/API/GlobalEventHandlers/onloadstart	false	false	false	false
onlostpointercapture	property	/en-US/docs/Web/API/GlobalEventHandlers/onlostpointercapture	false	false	false	false
onmessage	property	/en-US/docs/Web/API/WindowEventHandlers/onmessage	false	false	false	false
onmessageerror	property	/en-US/docs/Web/API/WindowEventHandlers/onmessageerror	false	false	false	false
onmousedown	property	/en-US/docs/Web/API/GlobalEventHandlers/onmousedown	false	false	false	false
onmouseenter	property	/en-US/docs/Web/API/GlobalEventHandlers/onmouseenter	false	false	false	false
onmouseleave	property	/en-US/docs/Web/API/GlobalEventHandlers/onmouseleave	false	false	false	false
onmousemove	property	/en-US/docs/Web/API/GlobalEventHandlers/onmousemove	false	false	false	false
onmouseout	property	/en-US/docs/Web/API/GlobalEventHandlers/onmouseout	false	false	false	false
onmouseover	property	/en-US/docs/Web/API/GlobalEventHandlers/onmouseover	false	false	false	false
onmouseup	property	/en-US/docs/Web/API/GlobalEventHandlers/onmouseup	false	false	false	false
onmozbeforepaint	property	/en-US/docs/Web/API/Window/onmozbeforepaint	false	true	true	false
onpaint	property	/en-US/docs/Web/API/Window/onpaint	false	true	false	false
onpause	property	/en-US/docs/Web/API/GlobalEventHandlers/onpause	false	false	false	false
