undefined	[object Window]	undefined	
globalThis	[object Window]	Window	[object Window]
Boolean	[object Window]	Function	function Boolean() {\n    [native code]\n}
Date	[object Window]	Function	function Date() {\n    [native code]\n}
Math	[object Window]	Object	[object Math]
Number	[object Window]	Function	function Number() {\n    [native code]\n}
String	[object Window]	Function	function String() {\n    [native code]\n}
RegExp	[object Window]	Function	function RegExp() {\n    [native code]\n}
Error	[object Window]	Function	function Error() {\n    [native code]\n}
InternalError	[object Window]	Function	function InternalError() {\n    [native code]\n}
EvalError	[object Window]	Function	function EvalError() {\n    [native code]\n}
RangeError	[object Window]	Function	function RangeError() {\n    [native code]\n}
ReferenceError	[object Window]	Function	function ReferenceError() {\n    [native code]\n}
SyntaxError	[object Window]	Function	function SyntaxError() {\n    [native code]\n}
TypeError	[object Window]	Function	function TypeError() {\n    [native code]\n}
URIError	[object Window]	Function	function URIError() {\n    [native code]\n}
ArrayBuffer	[object Window]	Function	function ArrayBuffer() {\n    [native code]\n}
Int8Array	[object Window]	Function	function Int8Array() {\n    [native code]\n}
Uint8Array	[object Window]	Function	function Uint8Array() {\n    [native code]\n}
Int16Array	[object Window]	Function	function Int16Array() {\n    [native code]\n}
Uint16Array	[object Window]	Function	function Uint16Array() {\n    [native code]\n}
Int32Array	[object Window]	Function	function Int32Array() {\n    [native code]\n}
Uint32Array	[object Window]	Function	function Uint32Array() {\n    [native code]\n}
Float32Array	[object Window]	Function	function Float32Array() {\n    [native code]\n}
Float64Array	[object Window]	Function	function Float64Array() {\n    [native code]\n}
Uint8ClampedArray	[object Window]	Function	function Uint8ClampedArray() {\n    [native code]\n}
BigInt64Array	[object Window]	Function	function BigInt64Array() {\n    [native code]\n}
BigUint64Array	[object Window]	Function	function BigUint64Array() {\n    [native code]\n}
BigInt	[object Window]	Function	function BigInt() {\n    [native code]\n}
Proxy	[object Window]	Function	function Proxy() {\n    [native code]\n}
WeakMap	[object Window]	Function	function WeakMap() {\n    [native code]\n}
Map	[object Window]	Function	function Map() {\n    [native code]\n}
DataView	[object Window]	Function	function DataView() {\n    [native code]\n}
Symbol	[object Window]	Function	function Symbol() {\n    [native code]\n}
Intl	[object Window]	Object	[object Object]
Reflect	[object Window]	Object	[object Object]
WeakSet	[object Window]	Function	function WeakSet() {\n    [native code]\n}
Atomics	[object Window]	Object	[object Atomics]
ReadableStream	[object Window]	Function	function ReadableStream() {\n    [native code]\n}
ByteLengthQueuingStrategy	[object Window]	Function	function ByteLengthQueuingStrategy() {\n    [native code]\n}
CountQueuingStrategy	[object Window]	Function	function CountQueuingStrategy() {\n    [native code]\n}
WebAssembly	[object Window]	Object	[object Object]
NaN	[object Window]	Number	NaN
Infinity	[object Window]	Number	Infinity
isNaN	[object Window]	Function	function isNaN() {\n    [native code]\n}
isFinite	[object Window]	Function	function isFinite() {\n    [native code]\n}
parseFloat	[object Window]	Function	function parseFloat() {\n    [native code]\n}
parseInt	[object Window]	Function	function parseInt() {\n    [native code]\n}
escape	[object Window]	Function	function escape() {\n    [native code]\n}
unescape	[object Window]	Function	function unescape() {\n    [native code]\n}
decodeURI	[object Window]	Function	function decodeURI() {\n    [native code]\n}
encodeURI	[object Window]	Function	function encodeURI() {\n    [native code]\n}
decodeURIComponent	[object Window]	Function	function decodeURIComponent() {\n    [native code]\n}
encodeURIComponent	[object Window]	Function	function encodeURIComponent() {\n    [native code]\n}
DOMRectList	[object Window]	Function	function DOMRectList() {\n    [native code]\n}
AudioParamMap	[object Window]	Function	function AudioParamMap() {\n    [native code]\n}
DOMException	[object Window]	Function	function DOMException() {\n    [native code]\n}
CanvasGradient	[object Window]	Function	function CanvasGradient() {\n    [native code]\n}
WebGLRenderbuffer	[object Window]	Function	function WebGLRenderbuffer() {\n    [native code]\n}
ErrorEvent	[object Window]	Function	function ErrorEvent() {\n    [native code]\n}
HTMLButtonElement	[object Window]	Function	function HTMLButtonElement() {\n    [native code]\n}
AbortController	[object Window]	Function	function AbortController() {\n    [native code]\n}
